Q1 : Most Preferred Payment Method?,,,,,,,,,Q5 : Average Revenue.
Row Labels,Count of Order ID,,,,,,,,Average of Revenue
 Credit Card,120,,,,,,,,3029.5899968503954
 Cash,76,,,,,,,,
 Gift Card,58,,,,,,,,
Grand Total,254,,,,,,,,

Insight: Credit Card is the most preferred payment method with the highest number of transactions.,,,,,,,,,

Q2 : Most Selling Product - By Quantity & By Revenue?,,,,,,,,,
Row Labels,Sum of Quantity,,Row Labels,Sum of Revenue,,,,,
Beverages,34983.140000000007,,Burgers,376999.80689999991,,,,,
Fries,32034.339999999986,,Fries,125674.29029999988,,,,,
Burgers,29022.309999999994,,Chicken Sandwiches,114641.69500000002,,,,,
Chicken Sandwiches,11135.920000000002,,Beverages,103200.26299999992,,,,,
Sides & Other,9819.5999999999913,,Sides & Other,48999.803999999967,,,,,
Grand Total,116995.30999999998,,Grand Total,769515.85919999972,,,,,

"Insight : Beverages has the highest quantity sold, otherwise Burgers generates the highest product revenue.",,,,,,,,,

"Q3 : Which city had maximum revenue , or , Which Manager earned maximum revenue?",,,,,,,,,
Row Labels,Max of Revenue,,Row Labels,Max of Revenue,,,,,
Lisbon,16074.434999999999,,Joao Silva,16074.434999999999,,,,,
Berlin,9800.0456999999988,,Walter Muller,9800.0456999999988,,,,,
London,7600.0593000000008,,Tom Jackson,7600.0593000000008,,,,,
Madrid,7199.9673000000003,,Pablo Perez,7199.9673000000003,,,,,
Paris,7199.9673000000003,,Remy Monet,7199.9673000000003,,,,,
Grand Total,16074.434999999999,,Grand Total,16074.434999999999,,,,,

Insight : Lisbon and Joao Silva get the highest revenue,,,,,,,,,

Q4 : Date wise revenue.,,,,,,,,,

Row Labels,Sum of Revenue,,,,,,,,
11-07-22,5200.002300000001,,,,,,,,
11-08-22,12400.073100000001,,,,,,,,
11-09-22,14200.0386,,,,,,,,
11-10-22,13200.042600000001,,,,,,,,
11-11-22,14400.015599999999,,,,,,,,
11-12-22,14000.053500000002,,,,,,,,
11-13-22,27674.4512,,,,,,,,
11-14-22,17839.344499999999,,,,,,,,
11-15-22,13600.030500000001,,,,,,,,
11-16-22,13600.030500000001,,,,,,,,
11-17-22,14000.053500000002,,,,,,,,
11-18-22,14400.111399999998,,,,,,,,
11-19-22,14000.019400000001,,,,,,,,
11-20-22,8200.0465999999997,,,,,,,,
11-21-22,14000.0838,,,,,,,,
11-22-22,13599.9918,,,,,,,,
11-23-22,13800.037800000002,,,,,,,,
11-24-22,13600.025900000001,,,,,,,,
11-25-22,13399.979900000002,,,,,,,,
11-26-22,13200.0638,,,,,,,,
11-27-22,13399.979900000002,,,,,,,,
11-28-22,13400.045399999999,,,,,,,,
11-29-22,13400.045399999999,,,,,,,,
11-30-22,13600.091400000001,,,,,,,,
12-01-22,13400.114400000002,,,,,,,,
12-02-22,14000.053500000002,,,,,,,,
12-03-22,14000.053500000002,,,,,,,,
12-04-22,9000.1006999999991,,,,,,,,
12-05-22,14200.0386,,,,,,,,
12-06-22,14000.122500000001,,,,,,,,
12-07-22,14000.053500000002,,,,,,,,
12-08-22,14200.0995,,,,,,,,
12-09-22,14600.061600000001,,,,,,,,
12-10-22,14600.061600000001,,,,,,,,
12-11-22,15000.088100000001,,,,,,,,
12-12-22,14600.061600000001,,,,,,,,
12-13-22,14600.061600000001,,,,,,,,
12-14-22,14600.010600000001,,,,,,,,
12-15-22,14400.094499999999,,,,,,,,
12-16-22,15000.037099999998,,,,,,,,
12-17-22,15400.095000000001,,,,,,,,
12-18-22,15600.0111,,,,,,,,
12-19-22,15799.961299999999,,,,,,,,
12-20-22,16000.007300000001,,,,,,,,
12-21-22,16399.969400000002,,,,,,,,
12-22-22,16599.964400000001,,,,,,,,
12-23-22,16000.021800000002,,,,,,,,
12-24-22,16399.983900000003,,,,,,,,
12-25-22,16599.978900000002,,,,,,,,
12-26-22,17000.019900000003,,,,,,,,
12-27-22,17000.019900000003,,,,,,,,
12-28-22,17599.976999999999,,,,,,,,
12-29-22,16800.077999999998,,,,,,,,
Grand Total,769515.85919999983
